uralex_mng	definition	definition_notes
I	First-person singular pronoun.	Stylistically neutral 1st sg. person; various honorific forms must be excluded. Direct stem. (Kassian et al. 2010)
all	A quantifier referring to a group or a thing in its entirety.	The “plural” ‘all’ (= Latin omnis). Not to be confused with ‘each, every’ (cf. context 3). If possible, should be separated from the “singular” ‘all’ (Latin totus, in contexts like: All of the water in the lake/pool became frozen/evaporated; He has eaten all the meat), which we recommend to exclude from the list. (Kassian et al. 2010)
and	The conjunction used to e.g. connect words of the same part of speech together, as in 'salt and pepper'.	Hierarchical relations might not work, such as bread and/with butter or animates which may take a comitative rather than a conjunction, such as father and/with brother.
animal	A generic noun for 'animal', i.e. any living and moving organism (not a human being).	Generic term for 'animal' (mammal) and not, e.g. 'wild animal', 'domestic animal'.
ant	A generic noun denoting an animal belonging to the family Formicidae.	
armpit	A generic noun for 'armpit'.	
arrive	A generic verb for 'arrive', i.e. to reach a place.	
ashes	A generic noun for 'ashes', i.e. the powdery residue that remains after a substance has burned.	Ashes as the basic result of combustion of wood, grass, dry dung (not after cremation, as in Russian прах). Not to be confused with special words for “fly ash”, “tobacco ashes”, “volcanic ashes”, or “embers” (hot ashes/coals, cf. context 3). (Kassian et al. 2010)
at	Adpositional marker expressing location, as in 'at a train station.	Generic locative; no spatial specification.
back	A generic noun for 'back, i.e. the body part situated between the buttocks and the back of the neck.	Of a human rather than of an inanimate object, e.g. house, where a lexical difference exists.
bad	A generic adjective for 'bad', i.e. unpleasant or unwelcome. Antonym of 'good'.	Antonym of No. 64 'good'. In the sense of 'deleterious, unsuitable', not 'rotten'. Try to elicit lots of oppositions to get the generic antonym.
bake	A generic verb for 'bake', i.e. to cook e.g. bread with dry heat.	
bark_n	A generic noun for 'bark', i.e. the outermost layer of a tree.	The neutral word for ‘bark’, applicable to as many different tree species as possible. Not to be confused with a dog's bark. (Kassian et al. 2010)
bat	A generic noun for a mammal of the order Chiroptera.	
bathe	A generic verb for 'bathe', i.e. to wash by immersing one's body in water.	
be_hungry	A generic verbal construction meaning 'to be hungry'.	
because	Conjunction in the meaning 'because', used to introduce a phrase that provides an explation or reasoning.	Infers causality.
become	A generic verb for 'become'.	
begin	A generic verb for begin, start (transitive form).	
behind	A generic adverbial meaning 'at the far side of'.	
belly	A generic noun for the belly (body part located above the pelvis).	Part of the human body located directly above the pelvis. Not to be confused with various terms that denote internal organs (stomach, intestines) or semantically/stylistically marked words (paunch). (Kassian et al. 2010)
berry	A generic noun for 'berry', i.e. a small, pulpy fruit.	
beside	An generic nominal modifier (e.g. an adposition) with the meaning 'next to'.	
big	A generic adjective denoting large size. Antonym of 'small'.	An adjective or verb that may be applied to different objects. The contexts are the same as in No.78 ‘small’. (Kassian et al. 2010)
bird	A generic noun for 'bird', i.e. a member of the vertebrate class Aves.	Some languages make a contrast between ‘small bird’ / ‘large bird’ or have a special word for ‘large (predatory) bird’. The contexts have been specially chosen so as to assist in revealing the more neutral term. (Kassian et al. 2010)
bite	A generic verb for 'bite', i.e. to cut into somewhing with the teeth.	Not to be confused with ‘to bite off’ (while eating) or ‘to gnaw’. Said of animals or people (not a separate word like ‘to sting’ used for insects, snakes, stinging plants etc.). (Kassian et al. 2010)
bitter	A generic adjective 'bitter', i.e. a sharp, pungent taste.	
black	A generic adjective for the color black.	Not to be confused with 'dark', 'dirty', etc. (Kassian et al. 2010)
blood	A generic noun for arterial blood.	Of human blood. To be distinguished from ‘coagulated blood’, ‘ichor’, ‘menstrual blood’ etc. We know of no languages that distinguish lexically between ‘arterial blood’ (bright red) and ‘venous blood’ (dark red, black). (Kassian et al. 2010)
blow	A generic verb for 'blow', i.e. to expel air (with mouth).	Not to be confused with the noun 'blow' in the hitting sense or the intransitive verb e.g. 'the wind blows'.
bone	A generic noun for 'bone', i.e. an individual piece of the vertebral skeleton.	General term for human and animal bones (anatomical, not as part of food). Not to be confused with specific designations of various bones (like ‘rib’, ‘vertebra’) and a possible designation of ‘tubular bone in general’. (Kassian et al. 2010)
bore	A generic verb for 'bore', i.e. to make a hole (with a drill).	
borrow	A generic verb for 'borrow', i.e. to obtain something for temporary use, with the intention of returning it.	
breast	A generic noun for the frontal part of the human body (between neck and upper belly).	Frontal part of the human body, located between the neck and the upper belly (region of the thorax). If there is a common term, applicable to both the male and female breasts, we recommend choosing this common term (e.g., English breast). If no common term is present, the word for male breast (= chest) must be chosen. Not to be confused with specific designations of the female mammary gland, nipples, internal organs (e.g., lungs) or thoracic cage. (Kassian et al. 2010)
breathe	A generic verb for 'breathe', i.e. inhale and exhale air.	
burn	A generic verb denoting 'burning', i.e. being on fire.	Primary meaning is transitive but both transitive and intransitive uses should be elicited, with cases where different morphemes are employed being marked accordingly. To be distinguished from both inchoatives like ‘to set on fire’ and “emphatic perfectives” like ‘to burn down’. (Kassian et al. 2010)
carry	A generic transitive verb for 'carry', i.e. to support and move something from one place to another.	
charcoal	A generic noun for 'charcoal'.	
child	A generic noun for any infant human being (regardless of family relationship).	Additional context if necessary: 'Is her child male or female?'
child_kin	A generic noun for a person's son or daughter.	Additional context if necessary: 'Is her child male or female?'
claw_nail	A generic noun for a claw or a fingernail.	Common term for fingernails (not toenails). The original Swadesh wordlist had ‘claw’ (=of animals), but this has on practice been replaced by ‘nail’ quite a long time ago. (Kassian et al. 2010)
clean	A generic adjective for 'clean'. Antonym of 'dirty'.	
cloud	A generic noun for a cloud.	White cumulus clouds, as distinguished from rain clouds (black). The original wordlist never specified the exact type of cloud, but for languages that distinguish lexically between the two, the immediate association seems to be with white rather than black cloud (e.g., Russian-based wordlists always use облако ‘white cloud’ rather than туча ‘black cloud, rain cloud’). (Kassian et al. 2010)
cold	A generic adjective 'cold', i.e. having low temperature. Antonym of 'hot'.	The regular antonym of ‘hot’. Should be separated from more specific temperature characteristics (‘ice-cold’, ‘cool’, etc.). 'Cold water' seems more easily elicited than 'cold weather' although the two may require different basic stems; if so, both should be noted. (Kassian et al. 2010)
comb	A generic noun for 'comb'.	
come	A generic verb for 'come', i.e. move towards a person's current location.	Of humans: to reach (preferably on foot) a destination. Should be distinguished from ‘enter’ (‘penetrate some confined space’), and, if possible, from ‘arrive’ and ‘reach’ (with strong emphasis either on the circumstances of one’s arrival or on the very facts). (Kassian et al. 2010)
cooked	A generic adjective for 'cooked'.	
count	A generic verb for 'count', i.e. determine the total number of something.	In the sense of 'enumerate' (the basic meaning) not 'recite numerical sequence', although if they are different then both can be elicited. Certainly not to be confused with the noun 'count'!
crush	A generic verb for 'crush', i.e. break something into small pieces by rubbing it against a rough surface.	
